avg_income	median_age	median_networth
40996	50.1	132124
35726	48.2	105997
28455	42.2	14663
33499	42.6	64473
27595	40.4	13002
33434	41.3	46239
28184	44.2	29731
37553	43.2	105189
38569	45	73840
40132	37.4	36141
48000	40.9	127285
34164	35	12667
26314	31.9	11434
39159	33	21840
48506	44.2	97149
39374	42.2	53807
67149	37.4	172505
33384	33.1	13951
38518	36.5	25201
35300	29.1	18507
37719	39.4	27929
38767	46.8	56119
35222	39.8	22557
28781	37.7	13688
42662	47.6	111987
50152	42.3	102000
40650	42.8	59039
41085	44.1	57000
35151	41.4	45597
39758	40.9	82002
37108	39.4	41668
38997	46.1	43842
43323	41.2	85528
35841	46.2	62149
35644	45	63724
25376	38.3	12336
29952	39.5	14682
40665	46.2	103198
39245	46.2	58944
26037	41.3	22702
44420	46.2	64466
30827	41.3	16448
34583	48.5	62078
33673	43.2	36602
23777	38.4	13824
39105	41.5	42400
33557	43.2	30565
46385	41	104755
41466	41.5	78496
40983	51	106659
41186	45.3	66543
35304	40.5	76883
33911	40.5	23694
37988	43	54708
44439	42.8	75000
38340	43.3	77700
50012	39	108458
32616	50	68339
24089	37.8	13116
35476	44.9	50000
37283	39.4	27312
37681	53	42573
25529	31.6	11038
34369	50	18049
29043	35.7	12091
35074	44.3	45017
35213	41.8	47212
48426	38.7	156019
40849	41.9	35584
35956	46.4	55363
46588	43.6	119364
29526	41	29784
29635	37.6	19124
31781	33.7	15000
29846	40.4	24416
34030	45.6	15315
29935	35.7	13267
27017	46.3	15722
26021	41.9	20029
35286	42.4	45805
34333	47.1	61145
38509	41.7	41652
35748	38.1	27580
37827	51.5	28864
46713	47.1	126542
50208	56.5	156013
39865	51.4	91424
36567	46.9	40347
43780	45.1	104827
34766	40.5	25446
65334	41	239418
32324	38.9	52336
41412	39	20283
44471	44.8	57991
44584	44.3	91268
50192	44.1	99247
58915	39.3	112088
50892	40.5	82244
58151	39.2	118577
70346	41.6	136440
71038	37.6	164286
76441	40.9	183857
70310	40.1	136009
89140	47.8	477971
74580	47.6	236762
57120	41.1	32241
47544	40	116199
38232	43	24895
31934	26.7	9065
34367	36.3	26705
40762	31	13519
85065	45.3	420344
74933	46	232883
37141	37.5	22114
39880	35.9	18697
57727	43.7	90577
52024	47.1	75744
16061	31.6	8264
22633	33.9	9856
17564	40.9	9794
33590	34	14836
32563	34.9	19264
46887	34.3	52989
51475	49.1	151893
47857	36.6	57952
39566	34.6	27082
51177	39.3	84024
45135	38.5	56529
30977	31.2	11609
33719	34.6	20655
40524	35.3	24852
31767	33.6	14720
34833	41.5	55315
41175	38	23669
26948	34.2	12845
20295	45	8979
24839	43.8	14514
28430	36.2	12952
24036	27	10152
56362	52.2	197292
35493	47.9	30964
29455	29.7	12278
27590	36.4	12309
22480	40.9	11795
47492	40.7	74324
34996	30.9	14564
37128	39.4	35222
37924	41.3	35599
34625	46.9	29012
39090	44.5	81354
39324	44.6	95346
41707	46.1	84587
39708	42.5	56399
44020	42.9	76379
